amfi_code,scheme_name,fund_house,category,sub_category,cagr_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,var_95_pct,ann_std_pct,composite_score,expense_ratio_pct,risk_category,fund_manager,benchmark,plan
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,19.77,20.82,6.92,0.13,0.221,8.2328,0.0259,-21.75,-1.4226,13.983,52.88,0.75,Moderate,Shreyash Devalkar,NIFTY 100 TRI,Direct
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,22.26,35.11,24.45,0.998,1.704,26.0767,-0.0663,-20.96,-1.848,19.407,80.75,1.38,High,Jinesh Gopani,NIFTY Midcap 50 TRI,Regular
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,-42.8,-11.71,1.34,-0.076,-0.128,4.8016,-0.067,-51.68,-2.6188,25.067,26.5,1.38,Very High,Anupam Tiwari,BSE 250 SmallCap TRI,Regular
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,5.52,5.84,5.16,-0.227,-0.377,5.6209,-0.0064,-4.33,-0.3938,3.967,26.0,0.77,Low,Dinesh Ahuja,CRISIL Dynamic Gilt Index,Regular
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,60.44,30.46,22.38,1.208,2.14,23.201,-0.0318,-15.01,-1.2846,13.741,73.06,1.54,Moderate,Sohini Andani,NIFTY 100 TRI,Regular
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,5.71,16.27,18.71,0.953,1.61,19.8686,-0.0262,-11.8,-1.3501,13.939,61.25,0.66,Moderate,Sohini Andani,NIFTY 100 TRI,Direct
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,82.78,26.67,28.03,0.945,1.675,30.337,-0.0232,-28.71,-2.4507,25.141,75.12,1.43,Very High,R. Srinivasan,BSE 250 SmallCap TRI,Regular
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,13.95,-1.34,1.81,-0.057,-0.094,4.8824,0.062,-52.57,-2.6859,24.95,33.69,0.72,Very High,R. Srinivasan,BSE 250 SmallCap TRI,Direct
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,8.49,13.98,16.36,0.798,1.338,17.7033,-0.0403,-13.9,-1.355,13.884,50.38,1.42,Moderate,Anish Tawakley,NIFTY 100 TRI,Regular
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,13.06,32.49,20.23,1.027,1.805,21.1948,0.0162,-12.59,-1.3728,14.364,76.06,0.8,Moderate,Anish Tawakley,NIFTY 100 TRI,Direct
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,29.6,31.78,28.38,1.18,2.029,29.2636,0.0005,-18.19,-1.8892,19.291,84.5,1.36,High,Sankaran Naren,NIFTY Midcap 150 TRI,Regular
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,41.82,18.42,14.89,0.649,1.096,16.2539,0.0419,-19.83,-1.4388,15.231,54.38,1.41,Moderately High,Sankaran Naren,NIFTY 500 TRI,Regular
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,7.43,7.39,6.34,0.496,1.052,6.7462,-0.0004,-0.1,-0.0222,0.494,38.25,0.74,Low,Rahul Goswami,CRISIL Liquid Fund AI Index,Regular
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,16.84,17.27,11.82,0.494,0.863,13.0429,0.0364,-17.57,-1.3142,13.464,41.12,1.59,Moderate,Harsha Upadhyaya,NIFTY 100 TRI,Regular
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,22.5,7.76,5.87,0.076,0.125,7.8044,0.0181,-24.0,-1.8219,17.895,33.88,1.56,High,Pankaj Tibrewal,NIFTY Midcap 150 TRI,Regular
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,26.66,29.58,26.74,1.307,2.364,27.3305,-0.0228,-12.97,-1.4508,15.887,78.25,1.45,Moderately High,Pankaj Tibrewal,NIFTY 500 TRI,Regular
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,7.12,6.7,6.06,-0.089,-0.188,6.4557,-0.0004,-0.12,-0.0285,0.513,31.88,0.6,Low,Deepak Agrawal,CRISIL Liquid Fund AI Index,Regular
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,28.68,18.43,16.56,0.776,1.331,17.7298,0.0488,-15.2,-1.4592,14.669,58.0,0.92,Moderate,Rahul Baijal,NIFTY 100 TRI,Direct
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,15.44,11.25,9.88,0.301,0.509,11.9891,0.0091,-21.12,-1.8365,18.352,46.38,0.78,High,Chirag Setalvad,NIFTY Midcap 150 TRI,Direct
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,20.36,34.0,26.8,1.448,2.386,26.9838,0.0237,-11.27,-1.356,14.194,80.0,1.46,Moderate,Gaurav Misra,NIFTY 100 TRI,Regular
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,14.27,14.75,19.57,0.926,1.633,20.873,-0.0264,-15.27,-1.4712,15.429,52.69,1.52,Moderately High,Neelesh Surana,NIFTY Large Midcap 250 TRI,Regular
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,39.75,29.18,27.63,1.235,2.147,28.2704,0.0181,-16.4,-1.7118,17.674,73.94,1.6,High,Neelesh Surana,NIFTY 500 TRI,Regular
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,18.11,18.04,11.7,0.464,0.762,13.1732,-0.0041,-14.84,-1.4474,14.354,41.44,1.54,Moderate,Apoorva Shah,NIFTY 100 TRI,Regular
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,21.48,26.87,25.61,1.132,1.875,26.5986,-0.0025,-17.25,-1.7882,17.746,67.5,1.61,High,Vinit Sambre,NIFTY Midcap 150 TRI,Regular
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,65.14,27.0,27.92,0.95,1.62,30.0579,0.0115,-31.17,-2.3483,24.84,74.94,1.52,Very High,Vinit Sambre,BSE 250 SmallCap TRI,Regular
